Wall time,Step,Value
1734169888.740582,421,1.1320128440856934
1734169904.786913,843,0.7347582578659058
1734169921.153533,1265,0.6428101062774658
1734169936.5134468,1687,0.6085524559020996
1734169952.328025,2109,0.5916686058044434
1734169967.371875,2531,0.5806881785392761
1734169982.4255161,2953,0.5730739831924438
1734169997.774186,3375,0.5673620104789734
1734170013.236484,3797,0.5625400543212891
1734170028.3475451,4219,0.5588793754577637
1734170043.7077901,4641,0.5552395582199097
1734170058.8713129,5063,0.5525926947593689
1734170074.002777,5485,0.549807608127594
1734170088.9539468,5907,0.5478134155273438
1734170105.34241,6329,0.5453687906265259
1734170121.248533,6751,0.543578028678894
1734170137.074838,7173,0.541862964630127
1734170153.545413,7595,0.5401029586791992
1734170169.673868,8017,0.5384573936462402
1734170185.7214248,8439,0.5376995205879211
1734170201.177957,8861,0.5359090566635132
1734170217.423038,9283,0.5347276329994202
1734170232.605056,9705,0.5336259603500366
1734170248.228771,10127,0.5329196453094482
1734170264.13445,10549,0.5314685106277466
1734170279.2594838,10971,0.5309030413627625
1734170295.6122591,11393,0.5298001170158386
1734170312.583651,11815,0.5291929841041565
1734170330.058551,12237,0.5283269882202148
1734170347.2392042,12659,0.5275990962982178
1734170364.0460439,13081,0.5265830755233765
1734170379.562219,13503,0.5259271264076233
1734170394.4649851,13925,0.5255929827690125
1734170409.381249,14347,0.524776816368103
1734170424.531927,14769,0.5245038270950317
1734170440.435541,15191,0.5240111947059631
1734170455.8953369,15613,0.5232375860214233
1734170471.668473,16035,0.5227583646774292
1734170488.455059,16457,0.5221385359764099
1734170503.659771,16879,0.5215947031974792
1734170519.09893,17301,0.5213383436203003
1734170534.331321,17723,0.5206329822540283
1734170549.548207,18145,0.520477831363678
1734170565.47404,18567,0.520000696182251
1734170580.587677,18989,0.5192936658859253
1734170595.5782568,19411,0.5194330215454102
1734170611.1728551,19833,0.518787682056427
1734170626.3868532,20255,0.5184643864631653
1734170643.094219,20677,0.5178983211517334
1734170659.21255,21099,0.517605721950531
1734170674.8457,21521,0.5174130201339722
1734170690.02921,21943,0.5171574950218201
1734170705.621314,22365,0.5172483325004578
1734170721.119703,22787,0.5163759589195251
1734170735.990572,23209,0.5164352059364319
1734170751.1022332,23631,0.5156574249267578
1734170766.0681732,24053,0.5158604383468628
1734170781.778635,24475,0.5152578949928284
1734170796.81207,24897,0.5149629712104797
1734170812.506374,25319,0.514979362487793
1734170827.804332,25741,0.514472246170044
1734170843.09286,26163,0.514413058757782
1734170858.2336168,26585,0.5138989686965942
1734170873.484245,27007,0.5135633945465088
1734170888.596339,27429,0.5135248899459839
1734170903.870652,27851,0.5136265158653259
1734170919.014148,28273,0.5131903886795044
1734170934.341999,28695,0.51305091381073
1734170949.411784,29117,0.5127040147781372
1734170964.5638459,29539,0.5126307606697083
1734170980.156218,29961,0.5123028755187988
1734170995.313626,30383,0.5124500393867493
1734171010.6353831,30805,0.5118598341941833
1734171025.8508239,31227,0.5118892192840576
1734171041.139204,31649,0.5116116404533386
1734171056.5970502,32071,0.5114379525184631
1734171071.936212,32493,0.5111181139945984
1734171087.966965,32915,0.510918378829956
1734171103.8922749,33337,0.5108131170272827
1734171120.4564219,33759,0.5107384324073792
